Id,job_title,course_join_question
1,Student,No response provided
2,Product Manager,  Understand Gen AI usecases
3,Founder,"I would like to get practical experience in building and deploying ai applications. I have some grounding the basics, but I want to be able to get to the point of actually deploying apps. "
4,Unknown job title,"New to the field, I will learn as much as I can so I can grow and buikd a career in AI"
5,Intern - CS Undergrad,No response provided
6,Data Analyst/Economist,I would like to start to have a grasp of how I can use AI to build products.
7,Data Analyst - GIS & Environmental Management - Musician,No response provided
8,Unknown job title,Learn more about AI customization. Building my own program using different tools . Learning also basics and fundamentals of AI models and in which context to use them .
9,VP Finance,"Two things: (1) Build AI applications to streamline my work, primarily for corporate finance / bizops use case. (2) Ship a prototype for software ideas that's been sitting in the backburner."
10,Head of Product,Uplevel my knowledge on AI and ideally be able to build something using AI.
11,Sr. Product Manager,Ai app building intro
12,Data Scientist,"Gain hands-on experience interfacing with LLMs, networking"
13,Unknown job title,Being able to build end to end AI applications.
14,Program Manager,"I would like to switch over to AI Product Management from Operational Program Management. I got laid-off in Oct'24. Even since, I tried learning, did a lot of exercise of my own. I'm not looking for new opportunity till I'm ready for AI. Here are my goals
- Real time and Practicle AI Product Implementation
- Real time build Product Strategy
- Real time do Product Design

Rest are covered in the course, I shall try to pick them to fulfill my goals.

Shaw, I'm excited to learn from you!

Thank you"
15,Technical Project Manager,"AI basics, introduction and how to use it my work "
16,CIO,No response provided
17,Solutions Engineer,I want to gain practical knowledge of end to end AI process through building projects.
18,Financial Management & Compliance Advisor,"Gain knowledge and skills to be able to develop AI powered automation application for regulatory compliance tasks such as RAG, Knowledge Graph, Langchain, etc.."
19,Technology Analyst,Understand and create projects using AI where most appropriate
20,Data Scientist,I am a data scientist but have limited experience with LLM application. I want to get more experience through real world projects and I want to learn from Shaw's experience creating valuable AI products. 
21,Data Analyst,A methodology to use this technology to build high ROI systems
22,Software Engineer,A better understanding of AI and how to bring it into the Trackstack platform
23,ML Engineer,"A structured way to build more advanced apps and flows out of my norm
Improve my skills to negotiate increased salaries"
24,Product Manager,Practical experience of playing with LLM!
25,UX Team Lead,"Upskilling in for AI, a better understanding of building prototypes and products."
26,Solutions Architect,"Basic understanding of AI workflows.  I work with customers on presenting and selling technology on a corporate scale (Sales Solutions Architect), so am looking to get an understanding of the selection/discovery/build and operation process that's involved with selecting and building an AI enabled application (Sales Solutions Architect)"
27,ML Engineer,"- Technical skills: learn to use LLMs/ AI
- Side projects: build up portfolio of side projects
- Community: network with other data scientists/ software engineers
"
